Card ID,Container,Folder Name,"File, TCG","File, OCG",Cen?,Patched?,Art #,English Name,Japanese Name,German Name,Korean Name
3401,–,–,–,–,No,#N/A,3,The Winged Dragon of Ra,ラーの翼神竜,Der geflügelte Drache von Ra,라의 익신룡
3489,–,–,–,–,No,#N/A,,Gjallarhorn,ギャラルホルン,,
3493,–,–,–,–,No,#N/A,,Dimension Equilibrium,じげんきんこう,,
3494,–,–,–,–,No,#N/A,,Beast Burial Ritual,,,
3499,–,–,–,–,No,#N/A,,Passion of Baimasse,,,
3508,–,–,–,–,Yes,#N/A,,Antidote Nurse,ワクチンゲール,,
3511,–,–,–,–,No,#N/A,,Playmaker,ファンタジスタ・ディエチ,Spielmacher,
3598,–,–,–,–,No,#N/A,,Armored White Bear,,,
3599,–,–,–,–,No,#N/A,,Synchro Monument,,,
3616,–,–,–,–,No,#N/A,,Masked Knight LV3,,,
3617,–,–,–,–,No,#N/A,,Masked Knight LV5,,,
3618,–,–,–,–,No,#N/A,,Masked Knight LV7,,,
3629,–,–,–,–,No,#N/A,,Blizzard Lizard,,,
3630,–,–,–,–,No,#N/A,,Ice Mirror,,,
3633,–,–,–,–,No,#N/A,,Mask Token,,,
3634,–,–,–,–,No,#N/A,,Synchro Spirits,,,
3636,–,–,–,–,No,#N/A,,Synchro Back,,,
3637,–,–,–,–,No,#N/A,,Double Ripple,,,
3638,–,–,–,–,No,#N/A,,Power Converter,,,
3639,–,–,–,–,No,#N/A,,Central Shield,,,
3640,–,–,–,–,No,#N/A,,Pain to Power,,,
3641,–,–,–,–,No,#N/A,,Altar of the Bound Deity,,,
3661,–,–,–,–,No,#N/A,,Wisel Top,,,
3662,–,–,–,–,No,#N/A,,Wisel Attack,,,
3663,–,–,–,–,No,#N/A,,Wisel Guard,,,
3664,–,–,–,–,No,#N/A,,Wisel Carrier,,,
3675,–,–,–,–,No,#N/A,,Wisel Top 3,,,
3676,–,–,–,–,No,#N/A,,Wisel Attack 3,,,
3677,–,–,–,–,No,#N/A,,Wisel Guard 3,,,
3682,–,–,–,–,No,#N/A,,Gatling Ogre,,,
3684,–,–,–,–,No,#N/A,,Infernity Doom Slinger,,,
3694,–,–,–,–,No,#N/A,,Double Type Rescue,,,
3696,–,–,–,–,No,#N/A,,Spark Breaker,,,
3697,–,–,–,–,No,#N/A,,Labyrinth of Kline,,,
3698,–,–,–,–,No,#N/A,,Battle Return,,,
3699,–,–,–,–,No,#N/A,,Divergence,,,
3701,–,–,–,–,No,#N/A,,Convert Ghost,,,
3702,–,–,–,–,No,#N/A,,Infinity Force,,,
3703,–,–,–,–,Yes,#N/A,,Jester Queen,ジェスター・クイーン,,
3704,–,–,–,–,No,#N/A,,Card of Distrain,,,
3705,–,–,–,–,Yes,#N/A,,Jester’s Panic,ジェスターズ・パニック,,
3706,–,–,–,–,No,#N/A,,Hidden Passage,,,
3709,–,–,–,–,No,#N/A,,Noble Knight’s Spearholder,,,
3710,–,–,–,–,No,#N/A,,Horse of the Floral Knights,,,
3711,–,–,–,–,No,#N/A,,Noble Knight’s Shield-Bearer,,,
3714,–,–,–,–,No,#N/A,,Centaur Mina,,,
3715,–,–,–,–,No,#N/A,,Imitation,,,
3719,–,–,–,–,Yes,#N/A,,Chain Close,チェーン・クローズ,,
